stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Quay:2678_Plataforma_Q1:,,Iliada,,"Paseo de la Iliada, 2 / Vitoria-Gasteiz",42.843377,-2.651488,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2678:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2678_Plataforma_Q2:,,Iliada,,"Paseo de la Iliada, 2 / Vitoria-Gasteiz",42.843377,-2.651488,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2678:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2679_Plataforma_Q1:,,Nikosia,,"Av. Salburua, 34 / Vitoria-Gasteiz",42.845215,-2.649645,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2679:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2679_Plataforma_Q2:,,Nikosia,,"Av. Salburua, 34 / Vitoria-Gasteiz",42.845215,-2.649645,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2679:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1468:,,Atxuri,,"Calle Atxuri, 5-6 / Bilbao",43.254113,-2.921513,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1469:,,Uribitarte,,Calle Uribitarte / Bilbao,43.266303,-2.928733,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1470:,,San Mames,,Av Juan Antonio Zunzunegui / Bilbao,43.261742,-2.948939,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1471:,,Abando,,"Calle Navarra, 5 / Bilbao",43.261052,-2.926658,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1472:,,Hospital/Ospitalea,,Calle Gurtubay / Bilbao,43.259796,-2.951244,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1473:,,Ribera,,Calle de la Ribera / Bilbao,43.255795,-2.924369,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1474:,,Sabino Arana,,"Av de Sabino Arana, 8 / Bilbao",43.263192,-2.946222,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1475:,,Abandoibarra,,Av de Abandoibarra / Bilbao,43.268585,-2.9407,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1476:,,Guggenheim,,Av de Abandoibarra / Bilbao,43.2687,-2.936763,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1477:,,La Casilla,,"C/ Autonomía, 56 / Bilbao",43.257767,-2.944349,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1478:,,Pio Baroja,,"Uribitarte Ibiltokia, 1 / Bilbao",43.264483,-2.926262,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1479:,,Euskalduna,,Av de Abandoibarra / Bilbao,43.266261,-2.943894,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1480:,,Arriaga,,"Calle de la Ribera, 4 / Bilbao",43.25907,-2.925938,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1481:,,Basurto,,,43.257993,-2.949072,ES:Euskotren:Zone:20:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1559:,,Gernikako Arbola,,Gernikako Arbola Kalea / Vitoria-Gasteiz,42.86482,-2.68086,ES:Euskotren:Zone:70:,,1,,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:StopPlace:1560:,,Abetxuko,,Calle Araka / Vitoria-Gasteiz,42.876277,-2.679599,ES:Euskotren:Zone:70:,,1,,,1,ES:Euskotren:Level:Level:1:,
